Date,Currency,Category,Country,Amount
2023-06-25 18:22:18+00:00,USD,General,AT,14.76
2023-06-25 18:53:24+00:00,USD,General,DE,47.31
2023-06-25 20:20:17+00:00,USD,General,DE,28.19
2023-06-26 02:26:10+00:00,USD,General,US,96.62
2023-06-26 04:15:12+00:00,USD,General,US,50.0
2023-06-26 05:34:16+00:00,USD,General,PL,9.07
2023-06-26 12:09:33+00:00,USD,General,US,20.0
2023-06-26 12:38:36+00:00,USD,General,CA,98.45
2023-06-26 13:45:29+00:00,USD,General,UA,95.12
2023-06-26 16:36:22+00:00,GBP,,,47.75
2023-06-26 16:36:22+00:00,USD,,,58.75
2023-06-26 16:52:57+00:00,USD,General,UA,9.07
2023-06-26 17:45:06+00:00,USD,General,CZ,14.76
2023-06-26 18:15:10+00:00,USD,General,US,300.0
2023-06-26 19:42:58+00:00,USD,General,CH,95.12
2023-06-26 19:49:33+00:00,USD,General,ES,190.73
2023-06-27 10:19:14+00:00,USD,Victory Drones,US,100.0
2023-06-27 11:41:32+00:00,USD,100 Drones for Ukraine,US,50.0
2023-06-27 16:15:54+00:00,USD,General,US,50.0
2023-06-27 16:46:17+00:00,USD,General,US,10.0
2023-06-27 17:28:01+00:00,USD,General,PL,4.29
2023-06-27 23:07:36+00:00,USD,General,DE,19.68
2023-06-27 23:44:39+00:00,USD,General,CA,9.84
2023-06-28 01:35:56+00:00,USD,,,3000.0
2023-06-28 10:06:54+00:00,USD,General,UA,9.84
2023-06-28 10:23:38+00:00,USD,General,DE,24.61
2023-06-28 12:59:57+00:00,USD,General,CH,295.36
2023-06-28 13:39:05+00:00,USD,General,NL,47.31
2023-06-28 13:45:25+00:00,USD,General,US,50.0
2023-06-28 13:54:54+00:00,USD,General,UA,95.12
2023-06-28 14:29:48+00:00,USD,General,FR,49.22
2023-06-28 16:59:22+00:00,USD,General,US,60.0
2023-06-28 16:59:40+00:00,USD,General,US,1000.0
2023-06-28 19:54:14+00:00,USD,General,US,100.0
2023-06-29 03:48:38+00:00,USD,General,US,9.22
2023-06-29 09:31:53+00:00,GBP,,GB,63.18
2023-06-29 15:42:28+00:00,USD,General,FR,309.29
2023-06-29 17:54:44+00:00,USD,General,US,200.0
2023-06-30 10:04:21+00:00,USD,General,US,50.0
2023-06-30 20:17:46+00:00,USD,General,UA,4.29
2023-06-30 20:33:22+00:00,USD,100 Drones for Ukraine,US,250.0
2023-06-30 20:40:11+00:00,USD,General,FR,196.91
2023-06-30 22:26:38+00:00,USD,General,CA,59.07
2023-07-01 02:06:58+00:00,USD,General,US,485.06
2023-07-01 10:06:53+00:00,USD,General,US,50.0
2023-07-01 10:38:44+00:00,USD,General,DE,9.84
2023-07-01 17:26:14+00:00,USD,General,US,50.0
2023-07-01 17:26:40+00:00,USD,100 Drones for Ukraine,US,96.62
2023-07-01 18:46:36+00:00,USD,General,FI,47.31
2023-07-01 20:21:09+00:00,USD,Victory Drones,CA,147.68
2023-07-01 20:58:46+00:00,USD,100 Drones for Ukraine,DE,24.61
2023-07-02 05:00:54+00:00,USD,,,77.2
2023-07-02 05:00:54+00:00,GBP,,,63.18
2023-07-02 14:19:17+00:00,USD,General,NO,18.63
2023-07-02 16:35:04+00:00,USD,,FR,1486.0400000000002
2023-07-02 18:47:56+00:00,USD,General,CA,66.44
2023-07-02 21:34:31+00:00,USD,General,US,18.93
2023-07-03 10:12:46+00:00,USD,General,PL,29.53
2023-07-03 21:12:31+00:00,USD,General,UA,246.13
2023-07-03 22:43:35+00:00,USD,General,ES,147.68
2023-07-04 01:19:15+00:00,USD,General,CA,98.45
2023-07-04 04:45:36+00:00,USD,Victory Drones,US,193.73
2023-07-04 18:54:31+00:00,USD,General,PL,49.22
2023-07-04 20:49:54+00:00,USD,General,UA,98.45
2023-07-04 21:06:15+00:00,USD,General,PL,49.22
2023-07-04 21:57:01+00:00,USD,General,UA,20.54
2023-07-04 23:33:22+00:00,USD,General,US,300.0
2023-07-05 02:15:06+00:00,USD,,,7000.0
2023-07-05 07:22:44+00:00,USD,100 Drones for Ukraine,DE,49.22
2023-07-06 10:47:20+00:00,USD,General,DE,4.29
2023-07-06 18:02:30+00:00,USD,General,US,500.0
2023-07-07 05:29:39+00:00,USD,General,FI,49.22
2023-07-07 07:18:10+00:00,USD,100 Drones for Ukraine,DE,49.22
2023-07-07 18:31:08+00:00,USD,General,US,18.93
2023-07-07 21:50:39+00:00,USD,General,US,20.0
2023-07-08 04:21:55+00:00,USD,100 Drones for Ukraine,CA,196.91
2023-07-08 05:32:19+00:00,USD,General,US,106.33
2023-07-08 21:42:34+00:00,USD,100 Drones for Ukraine,US,100.0
2023-07-09 04:38:47+00:00,USD,General,UA,13.85
2023-07-09 09:18:22+00:00,USD,General,AT,47.31
2023-07-09 10:11:45+00:00,USD,General,US,50.0
2023-07-09 10:44:48+00:00,USD,General,NL,196.91
2023-07-09 12:36:09+00:00,USD,100 Drones for Ukraine,US,100.0
2023-07-09 14:34:31+00:00,USD,100 Drones for Ukraine,BE,98.45
2023-07-09 17:46:02+00:00,USD,General,US,9.22
2023-07-09 19:13:38+00:00,USD,General,US,48.06
2023-07-10 11:19:17+00:00,USD,General,DE,190.73
2023-07-10 11:25:48+00:00,USD,General,DE,29.53
2023-07-11 00:51:05+00:00,USD,General,AU,19.68
2023-07-11 08:04:10+00:00,USD,General,PL,23.41
2023-07-11 10:07:46+00:00,USD,General,FI,47.31
2023-07-11 10:19:45+00:00,USD,General,DE,23.41
2023-07-11 10:40:05+00:00,USD,General,IT,18.63
2023-07-11 11:10:47+00:00,USD,General,MX,4.91
2023-07-11 12:55:40+00:00,USD,General,PL,284.71000000000004
2023-07-11 14:01:04+00:00,USD,Mobile Shower Laundry Units,US,96.62
2023-07-11 20:23:05+00:00,USD,General,UA,0.47
2023-07-11 20:52:08+00:00,USD,General,UA,98.45
2023-07-12 07:06:56+00:00,USD,General,US,100.0
2023-07-12 10:01:24+00:00,USD,General,DE,68.35
2023-07-12 15:00:06+00:00,USD,100 Drones for Ukraine,US,96.62
2023-07-12 16:20:04+00:00,USD,General,FR,14.76
2023-07-12 23:30:53+00:00,USD,General,PL,19.68
2023-07-13 10:51:03+00:00,USD,General,US,25.0
2023-07-13 11:51:24+00:00,USD,General,US,50.0
2023-07-13 13:41:42+00:00,USD,General,CY,98.45
2023-07-13 13:50:42+00:00,USD,General,US,40.0
2023-07-13 14:19:17+00:00,USD,General,US,96.62
2023-07-13 14:30:58+00:00,USD,General,US,96.62
2023-07-13 15:08:23+00:00,USD,100 Drones for Ukraine,PL,19.68
2023-07-13 17:04:21+00:00,USD,General,GB,190.73
2023-07-13 17:09:29+00:00,USD,General,GB,47.31
2023-07-13 17:55:18+00:00,USD,General,US,36.0
2023-07-13 20:54:49+00:00,USD,General,US,200.0
2023-07-13 21:01:44+00:00,USD,General,PL,13.85
2023-07-13 21:12:55+00:00,USD,General,DE,4.29
2023-07-13 21:23:30+00:00,USD,General,US,50.0
2023-07-13 22:04:26+00:00,USD,General,LT,9.84
2023-07-13 23:25:24+00:00,USD,General,US,300.0
2023-07-14 01:38:12+00:00,USD,General,US,96.62
2023-07-14 02:35:48+00:00,USD,General,US,96.62
2023-07-14 03:31:38+00:00,USD,General,US,30.0
2023-07-14 03:53:36+00:00,USD,General,CA,98.45
2023-07-14 06:27:19+00:00,USD,General,US,30.0
2023-07-14 09:33:47+00:00,USD,General,DE,49.22
2023-07-14 14:31:52+00:00,USD,General,US,100.0
2023-07-14 14:35:41+00:00,USD,General,US,290.84
